,Unnamed: 0,Artist,Album,Song Title,Producer,Lyrics,neg,neu,pos,compound
10,10,Yung Lean,Poison Ivy,​bender++girlfriend,Whitearmor," Got robotic instincts like I'm Bender Futurama spaceship, oxy syrup in the blender Reaching for the stacks, long arms man, Slender Riding round town, blowing dough, money spender We all get lost sometimes, but I surrender Trying to spend the night with you, mark my calendar Leandoer's still Polo'd down like a settler Freezing moon, started mayhem, nothing's matter  Gotta check the price Rubies on my ice Green gate, cold gate, haunted all my life Something ain't right I smell that in the night Weird phone calls, do you still fantasize? Had to check the price Rubies on my ice Green gate, Colgate, haunted all my life Something ain't right I smell that in the night Weird phone calls, do you still fantasize? You might also like Wintertime Rain on my blood Blood, blood, blood rain falling down the sky I see so clearly now  I'm scared when you fall Magazines, you're the star Not far I'm scared when you fall My magazines, you're the star We cannot fall She fell asleep on my arm I'm scared when you fall My magazines, you're the star We cannot fall She fell asleep on my arm On my arm, on my arm, on my arm, on my arm On my arm, she fell asleep on my arm On my arm, on my arm, on my arm, on my arm On my arm, she fell asleep on my arm I'm scared when you fall My magazines, you're the star We cannot fall She fell asleep on my arm27Embed",0.117,0.828,0.055,-0.9546
11,11,Yung Lean,,BENTLEY,Gud,"Lookin' all pretty in that hawaiian lookin' shirt If she tryin'a flirt  I'mma make that bitch squirt Lookin' all pretty in that hawaiian lookin' shirt If she tryin'a flirt I'mma make that bitch squirt I'm a young butt loving pervert Accidentally falling 'cos i wanna see that skirt Insert then hit the dirt Creepin' round the cut Prolly throw it up Not throwing up gang signs I'm throwing up guns Eat her like sushi Then i beat the pussy up Smoked out with my cock out Let these hoes know I ain't no boy scout Tell these faggots not to shout Screaming out my name Smoked out with my cock out Let these hoes know I ain't a boy scout Tell these stupid faggots not to shout Yung lean doer gots the chain That makes all the mentally challenged bitches insane Sniffing cocaine Find me in the sewer Yung lean doer gots the chain That makes all the mentally challenged bitches insane Sniffin' cocaine, find me in the sewer fuckin' with a cougar Swear on my mother's life I ain't gon' die tonight But i will get high And ride tonight And fuck a diet 'cos it's alright I don't give a fuck paint a subway Eat a Subway Acid trip all through May Only fuck bitches that are gay Lean is immature What the fuck did you say?You might also like4Embed",0.228,0.711,0.061,-0.9903
12,12,Yung Lean,,Benzo,,,0.0,1.0,0.0,0.0
13,13,Yung Lean,Unknown Memory,Blinded,Gud,"All this ice leave you blinded Five star life, stay reminded Bitch I done grinded I pull up with designer, if you with it Lean behind it All this ice leave you blinded Five star life, stay reminded Bitch I done grinded I pull up with designer, if you with it Lean behind it  Bitch I'm cruising down the Black Lodge with black wrist watch Got a bad bitch sipping scotch popping Tic Tacs Pull up with a black car gotta hit the snack bar Mitsubishi cruising down the lanes like its NASCAR They say I'm too bizarre But I done make it this far Might smoke a fat jetpack out to Mira Mar I'm feeling like a movie star Counting stacks with my boys in a sushi bar Uh, no you won't get this far Bitch I bet you know who we are Wake up and I see dark Never let the dogs bark, leave you looking like a question mark I be stuntin' overseas, all my boys ride for lean Bands to the ceiling, smoke away all my feelings I be, I be getting rich bitch I just came to sip, left an addict I guess I admit that I'm an addict You can't spit, my money standing looking like cabbage Hashish Steady taking trips living lavish, I'm- You might also like All this ice leave you blinded Five star life, stay reminded Bitch I done grinded I pull up with designer, if you with it Lean behind it All this ice leave you blinded Five star life, stay reminded Bitch I done grinded I pull up with designer, if you with it Lean behind it Bitch I— All this ice leave you blinded Five star life, stay reminded Bitch I done grinded I pull up with designer, if you with it Lean behind it All this ice leave you blinded Five star life, stay reminded Bitch I done grinded I pull up with designer, if you with it Lean behind it Bitch I—20Embed",0.181,0.755,0.064,-0.9912
14,14,Yung Lean,Unknown Memory,Blommor (Intro),Gud,,0.0,1.0,0.0,0.0
15,15,Yung Lean,,Blue Plastic,Gud,"Sew me up, I can be your doll Stuff me with cotton and take it all Make me whole, make me walk on Mars Back in your bedroom, like every fall Nothing to do here, been gone so long Nothing to do here, been here so long Everyone's got ideas, but they're all wrong Nobody wants to get it, but they're all for talk Nobody gives a fuck, I'm not the one to talk Nobody gives a fuck, I'm not the one to talk  Baby blue plastic, wrap me around Exploding like fragments onto the ground Wanna be like magic, burning, not found I exposed myself, I'm done, I'm down I'm done, I'm down Fuck it, I'm done, I'm down   Baby blue plastic, wrap me around Exploding like fragments onto the ground Wanna be like magic, burning, not found I exposed myself, I'm done, I'm down Fuck it, I'm done, I'm down Fuck it, I'm done, I'm downYou might also like32Embed",0.152,0.763,0.085,-0.9534
16,16,Yung Lean,Starz,Boylife in EU,Whitearmor,"Touch me, go on, feel me Heal me like you would care for me Touch me, decompose me Heal me, don't you want to see the real me? Thrill me, kill the real me Thrill me, you’re by my side but are you really with me?  Walk these streets till there's blood on my feet Walk these streets  Boylife in EU Boylife in EU Boylife in EU (Can't feel my heart, a-argh) Decompose me, decompose you  Pretend that everything is well That we will meet again Do you want to meet me again? Pretend this dream will never end Some things can’t be unsaid Awake, awake (Awakening) You might also like Boylife in EU Boylife in EU Boylife in EU Decompose me, decompose you Boylife in EU Boylife in EU Boylife in EU (Can't feel my face, can't feel my heart) Decompose me, decompose you (Can it stop, being like this)  Boylife in EU37Embed",0.06,0.823,0.117,0.7992
17,17,Yung Lean,Victorious//Bullets,Bullets (Ft. Bladee),Whitearmor,"Red dress She smells of success Reminds me of death Blood red dress Red red dress Smells of success Reminds me of death Red, red, red Reminds me of death  Bullets tear through flesh Arrows through my head B-B-Bullets tear through flesh Arrows through my head  Standing in the flesh It's running through my head Glory, blood and sweat The kingdom never rests  Eyes without a face Writеs a book without a name Time after timе after time again Chaos reigns, and it reigns, and it reigns Tainted love, fatal blow You might also like Ooh, ooh (Blood red) Nothing to miss (Oh) Nowhere but  Oh  She makes hearts She makes hearts pump with no blood What you search for is invisible We so cold, it's cold but we up Shit don't stop (Miljonärer)  Bullets tear through flesh Arrows through my head Bullets tear through flesh Arrows through my head Bullets tear through flesh Arrows through my head Bullets tear through flesh Arrows through my head  Standing in the flesh It's running through my head Glory, blood and sweat The kingdom never rests1Embed",0.097,0.812,0.091,-0.3111
18,18,Yung Lean,Starz,Butterfly Paralyzed,Whitearmor,"School is out in summer Keeping me paralyzed I'm not doing anything The side of things that summer brings  Who do you think I came to? I'm changing like a butterfly My feet aren't moving so So you left me paralyzed  (Oh-oh, oh) Girl, you left me paralyzed Girl, you left me paralyzed Girl, you left me paralyzed Girl, you left me paralyzed Girl, you left me paralyzed Girl, you left me paralyzed (Oh-oh, oh) (Ooh-oh-oh, oh-oh, oh-oh Ooh-oh-oh, oh-oh, oh-oh)  I want you to feed me lies Want to show you paradise Keep going and just hold on tight I don't need air tonight Show you what I'm really like (Show you my other side) Will you crush it for me Crush it up to the sky You don't care 'bout anything Except all those material things You might also like Who do you think I came to? I'm changing like a butterfly The ship's going overboard So you left me paralyzed  (Oh-oh, oh) Girl, you left me paralyzed Girl, you left me paralyzed Girl, you left me paralyzed (Oh-oh, oh) Girl, you left me paralyzed Girl, you left me paralyzed Girl, you left me paralyzed (Oh-oh, oh) Girl, you left me paralyzed Girl, you left me paralyzed Girl, you left me paralyzed (Oh-oh, oh) Girl, you left me paralyzed Girl, you left me paralyzed Girl, you left me paralyzed (Oh-oh, oh)  (Oh-oh, oh)11Embed",0.036,0.892,0.071,0.8004
19,19,Yung Lean,Warlord (This Record is Dedicated to the Memory of Barron Alexander Machat (6/25/1987 - 4/8/2015)),Buzz,Yung Sherman,"A very interesting character He's a wealthy land owner, educated in England, very good family But this man is the business brain and drug overlord of an empire that stretches across the Andes He's not your ordinary drug dealer  Range Rover take you on an island Came up, stacks up, now I'm wildin' (Wildin') I love all my boys, I smoke soo much I'm smilin' Can't leave now, we just started climbin' Double cup, drug, I'ma start a riot I've been smokin' all day, but I ain't high yet I can take you on a jet, make you flyin' Champagne on lean, bitch you know I'm flyin'  I know what you think, i'm so psychic I bring my bitch with me just like a sidekick Coke white seats, call it Miley I don't pop molly no more, guess I'm retired I see the darkness when I walk through the fire Take me up to the gods where I'm higher All white buildings, all I hear is sirens I just rolled a blunt, who got a lighter? I just rolled a blunt, who got a lighter? Range Rover, take you on an island Came up, stacks up, now im wildin', wildin' I love all my boys, I smoke so much I'm smilin'You might also likeEmbed",0.093,0.787,0.12,0.4848
20,20,Yung Lean,Frost God ,Cashin (Ft. Adamn Killa),Whitearmor,"Cashin' We be braggin' My pants be sagging I'm getting stacks in I be cashin' I hit the mall Yes I ball Shawty call Cashin' We be braggin' My pants be sagging I'm getting stacks in I be cashin' I hit the mall (Adamn) Yes I ball Shawty call  Bitch I'm out in Europe like I'm out here on vacation But I'm doing shows, touring across the nation If you want it, gotta get it like it ain't no waitin' Bitch I want it right now, I don't got no patience Niggas be broke 'cause they got all the patience Don't know the currency so I don't know what I'm paying Bitch I'm Adamn, that is what I'm saying All this foreign money, I can't count what I'm making There's me, Lean, Whitearmor and we out here baby I don't want no baby, Killavesi is my baby Bitch I'm Adamn, all the hot boys, they like hating I can't save no thot 'cause these bitches they got rabies You might also like Cashin' We be braggin' My pants be sagging I'm getting stacks in I be cashin' I hit the mall Yes I ball Shawty call  I be cashin' Shawty splashin' What you know about Lean? I'm getting stacks in On the frozen throne, I might just catch it Angels falling in my soul, money stacking, Gucci cologne Got cash, got bags, my bros Many men wanna kill me, I don't know Why they trying to get me? I just blow Money and coke up in my nose Percs in my system, I'm never slow Golden noise running 'round the floor Iced out in the frozen throne She called me up and called me on the phone She fucked me over once, someone that I know I be getting dough Soldiers from white snow Moola in my rover With Adamn killing my soul Fuck with Lean, I break your bones Fuck with Lean, I break your bones Moola in my rover1Embed",0.18,0.735,0.085,-0.9939
