,Unnamed: 0,Artist,Album,Song Title,Producer,Lyrics,neg,neu,pos,compound
10,10,Katy Perry,,Birthday (Cash Cash Remix),Dr. Luke & Cirkut & Max Martin,"Every birthday...  Boy, when you're with me, I'll give you a taste Make it like your birthday every day I know you like it sweet, so you can have your cake Give you something good to celebrate  So make a wish I'll make it like your birthday every day I'll be your gift Give you something good to celebrate (Celebrate, celebrate, celebrate...)  Give you something good to celebrate So make a wish I'll make it like your birthday every day I'll be your gift Give you something good to celebrate  Happy birthday... So let me get you in your birthday suit It's time to bring out the big balloons So let me get you in your birthday suit It's time to bring out the big, big, big, big, big, big balloons You might also like Boy, when you're with me, I'll give you a taste Make it like your birthday every day I know you like it sweet, so you can have your cake Give you something good to celebrate  Give you something good to celebrate So make a wish I'll make it like your birthday every day I'll be your gift Give you something good to celebrate  Oh, baby I'll make it like your birthday every day Celebrate now Every birthday...Embed",0.085,0.54,0.374,0.9978
11,11,Katy Perry,,Birthday (Le Youth Extended Remix),Le Youth,"You should call-call-call You should call-call-call  I heard you're feeling nothing's going right Nothing's going right, nothing's going right, nothing's going right The clock is ticking, running out of time Running out of time, running out of time I'm the girl that you should call Ahould call, should call, should call, should call  Boy, when you're with me, I'll give you a taste Make it like your birthday every day I know you like it sweet, so you can have your cake Give you something good to celebrate Someday-day-day-day Make it like your, make it like your, make it like your birthday every day Make it like your birthday every day  Pop your confetti, pop your Pérignon Pop your Pérignon, pop your Pérignon I got you spinning like a disco ball Like a disco, like a disco, like a disco ball Like a disco, like a disco, like a disco ball All night they're playing your song You might also like Boy, when you're with me, I'll give you a taste Make it like your birthday every day I know you like it sweet, so you can have your cake Give you something good to celebrate Someday-day-day-day Make it like your, make it like your, make it like your birthday every day Make it like your birthday every day  Boy, when you're with me Make it like your birthday every day I know you like it sweet, so you can have your cake Boy, when you're with me Boy, when you're with me I know you like it sweet I know you like it sweet I know you like it sweet Make it like your, make it like your, make it like your birthday every day Make it like your birthday every day Make it like your birthday every dayEmbed",0.016,0.675,0.309,0.9982
12,12,Katy Perry,,Birthday (Octava Disco House Radio Edit),Octava,"I heard you're feeling nothing's going right Why don't you let me stop by? The clock is ticking, running out of time So we should party all night  Boy, when you're with me Make it like your birthday every day Give you something good to celebrate I'll be your gift Give you something good to celebrate  Pop your confetti, pop your Pérignon So hot and heavy 'til dawn I got you spinning like a disco ball All night they're playing your song Come on  Boy, when you're with me Make it like your birthday every day Give you something good to celebrate So make a wish I'll make it like your birthday every day Give you something good to celebrate You might also like So let me get you in your birthday suit It's time to bring out the big balloons So let me get you in your birthday suit It's time to bring out the big, big, big, big, big, big balloons  Boy, when you're with me Make it like your birthday every day Give you something good to celebrate So make (hey) I'll make it like your birthday every day I'll be your gift Give you something good to celebrate Boy, when you're with me Make it like your birthday every day Give you something good to celebrate So make a wish I'll make it like your birthday every dayEmbed",0.055,0.65,0.295,0.9966
13,13,Katy Perry,,Birthday (PRISMATIC WORLD TOUR VERSION),,"So, you don’t wanna go home yet. I know ya ! If you still wanna celebrate get on your feet, we gonna party like its your birthday ! *claps*  I heard you're feeling nothing's going right Why don't you let me stop by? The clock is ticking, running out of time So we should party all night  So cover your eyes, I have a surprise I hope you got a healthy appetite If you wanna dance, if you want it all You know that I'm the girl that you should call  Boy, when you're with me, I'll give you a taste Make it like your birthday every day I know you like it sweet, so you can have your cake Give you something good to celebrate  So make a wish I'll make it like your birthday every day I'll be your gift Give you something good to celebrate You might also like IS ANYBODY BIRTHDAY MONTH ? Lets get a little bit closer: is anybody birthday week right now !? You pick me somebody I hope its her birthday soon because I have to put someone on that birthday seat ! Hi Whats your name? When’s your birthday? YAH ! Go sit on your throne, its time to give you the best birthday you better have ! Give me this ! *grab phone* Cmon !  Pop your confetti, pop your Pérignon So hot and heavy 'til dawn I got you spinning like a disco ball All night they're playing your song  We're living the life, we're doing it right You're never gonna be unsatisfied If you wanna dance, if you want it all You know that I'm the girl that you should call  Boy, when you're with me, I'll give you a taste Make it like your birthday every day I know you like it sweet, so you can have your cake Give you something good to celebrate So make a wish I'll make it like your birthday every day I'll be your gift Give you something good to celebrate  Happy birthday... So let me get you in your birthday suit It's time to bring out the big balloons So let me get you in your birthday suit It's time to bring out the big, big, big, big, big, big balloons  Boy, when you're with me, I'll give you a taste Make it like your birthday every day I know you like it sweet, so you can have your cake Give you something good to celebrate Boy, when you're with me, I'll give you a taste Make it like your birthday every day I know you like it sweet, so you can have your cake Give you something good to celebrate  So make a wish I'll make it like your birthday every day I'll be your gift Give you something good to celebrate Happy birthday...Embed",0.054,0.674,0.272,0.9988
14,14,Katy Perry,The Hello Katy Australian Tour EP,Black & Gold,Katy Perry,"One, two, three, four  If the fish swam out of the ocean And grew legs and they started walking And the apes climbed down from the trees And grew tall and they started talking And the stars fell out of the sky And my tears rolled into the ocean And now I'm looking for a reason why You even set my world into motion  'Cause if you're not really here Then the stars don't even matter Now I'm filled to the top with fear That it's all just a bunch of matter 'Cause if you're not really here Then I don't wanna be either I wanna be next to you Black and gold, black and gold, black and gold (Ooh-ooh, ooh)  I look up into the grey sky I see a thousand eyes staring back And all around these golden beacons I see nothing but black I feel the weight of something beyond them I don't see what I can feel If vision is the only validation Then most of my life isn't real You might also like 'Cause if you're not really here Then the stars don't even matter Now I'm filled to the top with fear That it's all just a bunch of matter 'Cause if you're not really here Then I don't wanna be either I wanna be next to you Black and gold, black and gold, black and gold  Ooh-ooh-ooh, oh, ooh-ooh-oh, yeah Hey, hey, hey Ooh-ooh-ooh, oh-oh  'Cause if you're not really here Then the stars don't even matter Now I'm filled to the top with fear That it's all just a bunch of matter 'Cause if you're not really here Then I don't wanna be either I wanna be next to you Black and gold, black and gold, black and gold Black and gold, black and gold, black and gold, black and gold2Embed",0.06,0.89,0.05,-0.0562
15,15,Katy Perry,,Black Widow (Demo),StarGate,"I'm gonna love ya until you hate me And I'm gonna show ya what's really crazy You should've known better than to mess with me harder I'm gonna love ya, I'm gonna love ya, gonna love ya Gonna love ya like a black widow, baby (Baby, baby, baby)  I got my little black dress on, and some blood red nails Yeah, I'm packed with poison Going out for the kill 'Cause I made a mistake Yeah, I kissed a snake Now my hourglass shape's gonna seal your fate  You used to be thirsty for me But now you wanna be set free But this is the web, web that you weaved So, baby, now rest in peace  I'm gonna love ya until you hate me (Yeah) And I'm gonna show ya what's really crazy (Yeah) You should've known better than to mess with me harder (Yeah) I'm gonna love ya, I'm gonna love ya, gonna love ya Gonna love ya like a black widow, baby (Baby, baby, baby) You might also like Oh, little did you know When you cross the line That I'ma triple Scorpio, with a wicked bite Ooh, can you feel the sting? It's paralyzing Now you're stuck with me 'Cause you fucked with me  You used to be thirsty for me But now you wanna be set free But this is the web, web that you weaved So, baby, now rest in peace  I'm gonna love ya until you hate me (Yeah) And I'm gonna show ya what's really crazy (Yeah) You should've known better than to mess with me harder (Yeah) I'm gonna love ya, I'm gonna love ya, gonna love ya Gonna love ya like a black widow, baby (Baby, baby, baby)1Embed",0.124,0.56,0.316,0.9979
16,16,Katy Perry,Witness (Deluxe),Bon Appétit (Ft. Migos),Max Martin & Shellback & Oscar Holter,"Ayy, yeah Katy Perry, Migos, ayy  'Cause I'm all that you want, boy All that you can have, boy Got me spread like a buffet Bon a—, bon appétit, baby Appetite for seduction Fresh out the oven Melt in your mouth kind of lovin' Bon a—, bon appétit, baby (Woo)  Looks like you been starvin' You got those hungry eyes (Woo) You could use some sugar 'Cause your levels ain't right (Woo) I'm a five-star Michelin A Kobe flown in (Woo) You want what I'm cookin', boy  Let me take you (Woo) Under candlelight We can wine and dine A table for two And it's okay (Woo) If you take your time Eat with your hands, fine I'm on the menu You might also like 'Cause I'm all that you want, boy All that you can have, boy Got me spread like a buffet Bon a—, bon appétit, baby Appetite for seduction Fresh out the oven Melt in your mouth kind of lovin' Bon a—, bon appétit, baby (Woo)  So you want some more Well, I'm open twenty-four (Woo) Wanna keep you satisfied Customer's always right (Woo) Hope you got some room (Oh) For the world's best cherry pie (Woo) Gonna hit that sweet tooth (Ayy), boy  Let me take you (Woo) Under candlelight We can wine and dine A table for two (For two) And it's okay (Woo) If you take your time (Ayy) Eat with your hands, fine (Yeah) I'm on the menu (Go ahead) 'Cause I'm all that you want, boy (All that you want) All that you can have, boy (Ayy) Got me spread like a buffet Bon a—, bon appétit, baby (Bon appétit) Appetite for seduction Fresh out the oven (Fresh out the oven) Melt in your mouth kind of lovin' Bon a—, bon appétit, baby 'Cause I'm all that you want, boy (Woo) All that you can have, boy Got me spread like a buffet Bon a—, bon appétit, baby (Bon appétit) Appetite for seduction Fresh out the oven (Woo) Melt in your mouth kind of lovin' (Hey) Bon a—, bon appétit, baby (Quavo)  Sweet potato pie (Sweet) It'll change your mind (Change) Got you runnin' back for seconds (Runnin') Every single night (Ayy) I'm the one they say can change your life (Takeoff) No waterfall, she drippin' wet just like my ice (Blast) Say she want a Migo night, I ask her, ""What's the price?"" (Hold on) If she do right, told her, ""Get whatever you like"" (Offset) I grab her legs and now divide, aight (Aight) Make her do a donut when she ride, aight (Skrrt) Lookin' at the eyes of a dime, make you blind (Dime) In her spine and my diamonds change the climate (Shine, yeah) Sweet tooth (Sweet), no tooth fairy (No) Whipped cream (Whip), no dairy (Whip) Got her hot light on, screamin', ""I'm ready"" (Hot) But no horses (Woo), no carriage (Hey, go ahead) 'Cause I'm all that you want, boy (All that you want) All that you can have, boy (Oh) Got me spread like a buffet (Ayy) Bon a—, bon appétit, baby (Eat it up, eat it up, eat it up) Appetite for seduction (Yeah, yeah, yeah) Fresh out the oven (Yeah, yeah, yeah) Melt in your mouth kind of lovin' Bon a—, bon appétit, baby (Bon appétit)  Under candlelight (Yeah, woo) Bon appétit, baby (Woo)60Embed",0.023,0.767,0.21,0.9976
17,17,Katy Perry,,Bon Appétit (3LAU Remix) (Ft. Migos),3LAU,"Ay, yeah Katy Perry, Migos  'Cause I'm all that you want, boy All that you can have, boy Got me spread like a buffet Bon a, bon appétit, baby Appetite for seduction Fresh out the oven Melt in your mouth kind of lovin' Bon a, bon appétit, baby  Oh na (and it's ok) Melt in your mouth, boy And it's ok Melt in your mouth, boy  Under candle light We can wine and dine A table for two And it's okay If you take your time Eat with your hands, fine I'm on the menu You might also like 'Cause I'm all that you want, boy All that you can have, boy Got me spread like a buffet Bon a, bon appétit, baby Appetite for seduction Fresh out the oven Melt in your mouth kind of lovin' Bon a, bon appétit, baby (go ahead)  I'm the one they say can change your life (take off) No waterfall, she drippin' wet, you like my ice? (Blast) She say she want a Migo night Now I ask her, ""What's the price?"" (Hold on) If she do right, told her get whatever you like Offset  I grab her legs and now divide, aight Make her do a donut when she ride, aight Looking at the eyes of a dime, make you blind In her spine and my diamonds change the climate  Sweet tooth, no tooth fairy Whipped cream, no dairy Got her hot light on, screaming, ""I'm ready"" But no horses, no carriage Ahh ahh, (ay) Ahh ahh, (ya) Katy Perry (ey) Migos  'Cause I'm all that you want, boy (all that you want) All that you can have, boy Got me spread like a buffet Bon a, bon appétit, baby (bon appétit) Appetite for seduction Fresh out the oven (fresh out the oven) Melt in your mouth kind of lovin' Bon appétit, baby 'Cause I'm all that you want, boy All that you can have, boy Got me spread like a buffet Bon a, bon appétit, baby (bon appétit) Appetite for seduction Fresh out the oven Melt in your mouth kind of lovin' Bon a, bon appétit, baby Quavo  Oh na (and it's ok) Melt in your mouth, boy And it's ok Melt in your mouth, boy 'Cause I'm all that you want, boy All that you can have, boy Got me spread like a buffet Bon a, bon appétit, baby Appetite for seduction Fresh out the oven Melt in your mouth kind of lovin' Bon a, bon appétit, baby  Ahh ahh (ay) Ahh ahh (ay) Ahh ahh (ay) Bon appétit, babyEmbed",0.031,0.835,0.134,0.9859
18,18,Katy Perry,,Bon Appétit (Martin Jensen Remix) (Ft. Migos),Max Martin & Oscar Holter & Shellback & Martin Jensen,"Looks like you've been starving You've got those hungry eyes You could use some sugar 'Cause your levels ain't right I'm a five-star Michelin A Kobe flown in You want what I'm cooking, boy  Let me take you Under candle light We can wine and dine A table for two And it's okay If you take your time Eat with your hands, fine I'm on the menu  'Cause I'm all that you want, boy All that you can have, boy Got me spread like a buffet Bon a, bon appétit, baby Appetite for seduction Fresh out the oven Melt in your mouth kind of lovin' Bon a, bon appétit, baby You might also like That you want Bon appétit, baby That you want Bon appétit, baby  Sweet potato pie It'll change your mind Got you running back for seconds Every single night  Sweet tooth, no tooth fairy Whipped cream, no dairy Got her hot light on, screaming, ""I'm ready"" But no horses, no carriage  Under candle light We can wine and dine A table for two And it's okay If you take your time Eat with your hands, fine I'm on the menu (Go ahead) 'Cause I'm all that you want, boy All that you can have, boy Got me spread like a buffet Bon a, bon appétit, baby Appetite for seduction Fresh out the oven Melt in your mouth kind of lovin' Bon a, bon appétit, baby  That you want Bon appétit, baby That you want Bon appétit, baby That you want That you want That you want Bon appétit, babyEmbed",0.045,0.811,0.144,0.9331
19,19,Katy Perry,,Bon Appétit (MUNA Remix),MUNA,"Under candle light, candle light We can wine and dine Please just take your time, (take your) take your time Eat with your hands, fine  'Cause I'm all that you want, boy All that you can have, boy 'Cause I'm all that you want, boy Bon appétit, baby  So you want some more Well I'm open 24 Wanna keep you satisfied Customer's always right Hope you've got some room For the world's best cherry pie Gonna hit that bon appé-, hit that, boy World's best cherry pie  Under candle light, candle light We can wine and dine Please just take your time, (take your) take your time Eat with your hands, fine I'm on the menu You might also like 'Cause I'm all that you want, boy All that you can have, boy Got me spread like a buffet Bon a, bon appétit, bon-bon appétit Appetite for seduction Fresh out the oven Melt in your mouth kind of lovin' Bon a, bon appétit, bon-bon appétit  Under candle light, candle light We can wine and dine Please just take your time, (take your) take your time Eat with your hands, fine I'm on the menu Under candle light, candle light We can wine and dine Under candle light, candle light We can wine and dine I'm on the menu  'Cause I'm all that you want, boy All that you can have, boy 'Cause I'm all that you want, boy Bon a, bon appétit, bon-bon appétit, bon-bon appétit, babyEmbed",0.0,0.836,0.164,0.9871
